time,PET,T_max,T_min,P,Q_ML,Q_mm,Qual
1940-03-01,4.969,22.349,2.4779999999999998,0.058,-99.99,-99.99,255
1940-03-02,4.34,21.836000000000002,5.41,0,-99.99,-99.99,255
1940-03-03,4.693999999999999,18.467,6.465,0.066,-99.99,-99.99,255
1940-03-04,4.8149999999999995,24.875,6.069,0.049,-99.99,-99.99,255
1940-03-05,3.929,21.778,7.043,0,-99.99,-99.99,255
1940-03-06,3.3089999999999997,21.791999999999998,3.8389999999999995,0,-99.99,-99.99,255
1940-03-07,4.087,32.846,9.325000000000001,0,-99.99,-99.99,255
1940-03-08,5.887,36.323,13.552000000000001,0,-99.99,-99.99,255
1940-03-09,5.251,30.316000000000003,12.643999999999998,0,-99.99,-99.99,255
1940-03-10,5.297,33.496,13.328,0,-99.99,-99.99,255
1940-03-11,5.953,38.107,12.693999999999999,0,-99.99,-99.99,255
1940-03-12,5.905,37.5,14.216999999999999,0,-99.99,-99.99,255
1940-03-13,5.7700000000000005,35.664,15.381,0,-99.99,-99.99,255
1940-03-14,4.234,23.458,14.464,0,-99.99,-99.99,255
1940-03-15,3.796,18.924999999999997,9.275,0,-99.99,-99.99,255
1940-03-16,4.308,22.107000000000003,7.6819999999999995,0,-99.99,-99.99,255
1940-03-17,4.03,28.426,10.833,0.001,-99.99,-99.99,255
1940-03-18,3.4219999999999997,30.182,12.591,0.009,-99.99,-99.99,255
1940-03-19,3.246,21.512,14.164,17.048,-99.99,-99.99,255
1940-03-20,3.074,14.945,6.917,20.130000000000003,-99.99,-99.99,255
1940-03-21,3.3659999999999997,18.612000000000002,7.781000000000001,0.706,-99.99,-99.99,255
1940-03-22,3.8859999999999997,20.903,6.582,0.183,-99.99,-99.99,255
1940-03-23,4.3629999999999995,28.232,7.109,0,-99.99,-99.99,255
1940-03-24,4.176,30.399,11.575000000000001,0,-99.99,-99.99,255
1940-03-25,3.4959999999999996,18.959,10.987,0.001,-99.99,-99.99,255
1940-03-26,3.193,21.785999999999998,6.575,0.001,-99.99,-99.99,255
1940-03-27,3.3709999999999996,31.102,12.167,0.461,-99.99,-99.99,255
1940-03-28,3.9759999999999995,27.869,13.107,0.002,-99.99,-99.99,255
1940-03-29,3.7319999999999998,33.506,13.905000000000001,0,-99.99,-99.99,255
1940-03-30,2.8549999999999995,31.314000000000004,18.985999999999997,0,-99.99,-99.99,255
1940-03-31,2.005,18.844,14.135,3.9749999999999996,-99.99,-99.99,255
1940-04-01,2.4619999999999997,13.230999999999998,6.178,12.505,-99.99,-99.99,255
1940-04-02,3.0719999999999996,15.057,6.485,0.003,-99.99,-99.99,255
1940-04-03,2.404,20.179000000000002,4.936000000000001,0.016,-99.99,-99.99,255
1940-04-04,2.443,17.458,10.736999999999998,9.486,-99.99,-99.99,255
1940-04-05,3.003,17.221999999999998,7.119999999999999,0.6599999999999999,-99.99,-99.99,255
1940-04-06,2.8549999999999995,21.387,6.161,0,-99.99,-99.99,255
1940-04-07,2.1919999999999997,17.215,11.481,6.069,-99.99,-99.99,255
1940-04-08,2.8109999999999995,16.858,8.458,3.8289999999999997,-99.99,-99.99,255
1940-04-09,2.397,15.55,7.2410000000000005,0.027,-99.99,-99.99,255
1940-04-10,2.42,18.276,7.239000000000001,0.005,-99.99,-99.99,255
1940-04-11,2.123,22.601000000000003,7.775,0.025,-99.99,-99.99,255
1940-04-12,2.224,17.239,11.395000000000001,1.09,-99.99,-99.99,255
1940-04-13,1.566,13.181,7.409000000000001,0.17,-99.99,-99.99,255
1940-04-14,1.597,12.120999999999999,5.407,3.009,-99.99,-99.99,255
1940-04-15,1.8,8.469000000000001,3.8539999999999996,17.581,-99.99,-99.99,255
1940-04-16,1.346,9.720999999999998,4.09,10.895000000000001,-99.99,-99.99,255
1940-04-17,1.7009999999999998,11.205,6.375,7.535,-99.99,-99.99,255
1940-04-18,1.575,11.912,5.511,0.199,-99.99,-99.99,255
1940-04-19,1.8820000000000001,13.593,3.6559999999999997,0.097,-99.99,-99.99,255
1940-04-20,2.013,17.331000000000003,4.06,0,-99.99,-99.99,255
1940-04-21,2.429,20.891000000000002,7.495,0.019,-99.99,-99.99,255
1940-04-22,2.159,21.663,7.408,0.063,-99.99,-99.99,255
1940-04-23,1.8780000000000001,20.201999999999998,10.240999999999998,0.001,-99.99,-99.99,255
1940-04-24,1.508,18.964999999999996,11.33,2.578,-99.99,-99.99,255
1940-04-25,1.532,13.733999999999998,10.003,21.707,-99.99,-99.99,255
1940-04-26,1.587,13.267,7.992,1.783,-99.99,-99.99,255
1940-04-27,1.946,14.663,6.042,0.113,-99.99,-99.99,255
1940-04-28,1.677,14.365000000000002,4.301,0,-99.99,-99.99,255
